,cidade_estado,endereco,lat_lon,latitude,longitude
981,"Sete lagoas, Minas Gerais","Sete Lagoas, MG, Brazil","(-19.45738, -44.2416695)",-19.45738,-44.2416695
982,"Severiano melo, Rio Grande do Norte","Severiano Melo - State of Rio Grande do Norte, Brazil","(-5.777069, -37.9573292)",-5.777069,-37.9573292
983,"Simplício mendes, Piauí","Simplício Mendes - State of Piauí, Brazil","(-7.8602318, -41.9105688)",-7.8602318,-41.9105688
984,"Sirinhaém, Pernambuco","Sirinhaém, State of Pernambuco, 55580-000, Brazil","(-8.5914352, -35.1186262)",-8.5914352,-35.1186262
985,"Sobral, Ceará","Sobral - State of Ceará, Brazil","(-3.6895919, -40.3485423)",-3.6895919,-40.3485423
986,"Solanea, Paraíba","Solânea - State of Paraíba, Brazil","(-6.7440944, -35.7188463)",-6.7440944,-35.7188463
987,"Soledade, Rio Grande do Sul","Soledade - RS, Brazil","(-28.8304006, -52.5120619)",-28.8304006,-52.5120619
988,"Solânea, Paraíba","Solânea - State of Paraíba, Brazil","(-6.7440944, -35.7188463)",-6.7440944,-35.7188463
989,"Sorocaba, São Paulo","Sorocaba - State of São Paulo, Brazil","(-23.4557103, -47.4882762)",-23.4557103,-47.4882762
990,"Soure, Pará","Soure - State of Pará, 68870-000, Brazil","(-0.5083679, -48.6388879)",-0.5083679,-48.6388879
991,"Sousa, Paraíba","Sousa - State of Paraíba, Brazil","(-6.762525399999999, -38.224935)",-6.762525399999999,-38.224935
992,"Sumaré, São Paulo","Sumaré, SP, Brazil","(-22.8244781, -47.270408)",-22.8244781,-47.270408
993,"Sume, Paraíba","Sumé - State of Paraíba, Brazil","(-7.6714785, -36.8781716)",-7.6714785,-36.8781716
994,"Sumé, Paraíba","Sumé - State of Paraíba, Brazil","(-7.6714785, -36.8781716)",-7.6714785,-36.8781716
995,"Surubim, Pernambuco","Surubim, State of Pernambuco, 55750-000, Brazil","(-7.854282899999999, -35.7630474)",-7.854282899999999,-35.7630474
996,"Suzano, São Paulo","Suzano - Palmeiras de São Paulo, Suzano - SP, Brazil","(-23.5453209, -46.311625)",-23.5453209,-46.311625
997,"Sã0 gonçalo do amarante, Rio Grande do Norte","São Gonçalo do Amarante - State of Rio Grande do Norte, 59290-000, Brazil","(-5.7852461, -35.3288131)",-5.7852461,-35.3288131
998,"São benedito do rio preto, Maranhão","São Benedito do Rio Preto - State of Maranhão, 65440-000, Brazil","(-3.332633, -43.5274183)",-3.332633,-43.5274183
999,"São benedito do sul, Pernambuco","São Benedito do Sul - State of Pernambuco, Brazil","(-8.807350999999999, -35.9334053)",-8.807350999999999,-35.9334053
1000,"São benedito, Ceará","São Benedito - State of Ceará, Brazil","(-4.04487, -40.8651244)",-4.04487,-40.8651244
1001,"São bento do norte, Rio Grande do Norte","São Bento do Norte - State of Rio Grande do Norte, Brazil","(-5.0638581, -36.0411122)",-5.0638581,-36.0411122
1002,"São bento do trairí, Rio Grande do Norte","São Bento do Trairi - State of Rio Grande do Norte, Brazil","(-6.342949, -36.083043)",-6.342949,-36.083043
1003,"São bento, Maranhão","São Bento - State of Maranhão, Brazil","(-2.7016884, -44.8406758)",-2.7016884,-44.8406758
1004,"São bento, Paraíba","São Bento - State of Paraíba, Brazil","(-6.4525359, -37.4894776)",-6.4525359,-37.4894776
1005,"São bernardo do campo, São Paulo","São Bernardo do Campo, State of São Paulo, Brazil","(-23.6898429, -46.5648481)",-23.6898429,-46.5648481
1006,"São caetano do sul, São Paulo","São Caetano do Sul, State of São Paulo, Brazil","(-23.6233625, -46.5552433)",-23.6233625,-46.5552433
1007,"São caitano, Pernambuco","São Caetano - State of Pernambuco, Brazil","(-8.3252919, -36.1378986)",-8.3252919,-36.1378986
1008,"São carlos, São Paulo","São Carlos, SP, Brazil","(-22.0087082, -47.8909263)",-22.0087082,-47.8909263
1009,"São fernando, Não Informado",,,,
1010,"São fernando, Rio Grande do Norte","São Fernando, State of Rio Grande do Norte, 59327-000, Brazil","(-6.377112599999999, -37.1860574)",-6.377112599999999,-37.1860574
1011,"São francisco do oeste, Rio Grande do Norte","São Francisco do Oeste, RN, 59908-000, Brazil","(-5.999297599999999, -38.170792)",-5.999297599999999,-38.170792
1012,"São francisco do oeste, São Paulo","R. Anis Chakur, 175 - Jardim Alvorada (Zona Oeste), São Paulo - SP, 05528-110, Brazil","(-23.5948241, -46.7568504)",-23.5948241,-46.7568504
1013,"São francisco do sul, Santa Catarina","São Francisco do Sul - State of Santa Catarina, Brazil","(-26.2420583, -48.6356496)",-26.2420583,-48.6356496
1014,"São félix do araguaia, Mato Grosso","São Félix do Araguaia - State of Mato Grosso, 78670-000, Brazil","(-11.6175316, -50.6662379)",-11.6175316,-50.6662379
1015,"São gabriel da cachoeira, Amazonas","São Gabriel da Cachoeira - State of Amazonas, 69750-000, Brazil","(-0.1155659, -67.0883053)",-0.1155659,-67.0883053
1016,"São gabriel, Rio Grande do Sul","São Gabriel - RS, 97300-000, Brazil","(-30.3340579, -54.323014)",-30.3340579,-54.323014
1017,"São gonçalo  do amarante, Não Informado","São Gonçalo do Amarante - State of Rio Grande do Norte, 59290-000, Brazil","(-5.7852461, -35.3288131)",-5.7852461,-35.3288131
1018,"São gonçalo  do amarante, Rio Grande do Norte","São Gonçalo do Amarante - State of Rio Grande do Norte, 59290-000, Brazil","(-5.7852461, -35.3288131)",-5.7852461,-35.3288131
1019,"São gonçalo do amarante, Ceará","São Gonçalo do Amarante - Anacetaba, São Gonçalo do Amarante - CE, 62670-000, Brazil","(-3.6072866, -38.96838839999999)",-3.6072866,-38.96838839999999
1020,"São gonçalo do amarante, Rio Grande do Norte","São Gonçalo do Amarante - State of Rio Grande do Norte, 59290-000, Brazil","(-5.7852461, -35.3288131)",-5.7852461,-35.3288131
1021,"São gonçalo, Rio Grande do Norte","São Gonçalo do Amarante - State of Rio Grande do Norte, 59290-000, Brazil","(-5.7852461, -35.3288131)",-5.7852461,-35.3288131
1022,"São gonçalo, Rio de Janeiro","São Gonçalo, State of Rio de Janeiro, Brazil","(-22.8272883, -43.0637646)",-22.8272883,-43.0637646
1023,"São joao do rio do peixe, Paraíba","São João do Rio do Peixe - State of Paraíba, Brazil","(-6.727253399999999, -38.449499)",-6.727253399999999,-38.449499
1024,"São josé da lagoa tapada, Paraíba","São José da Lagoa Tapada - State of Paraíba, Brazil","(-6.939055, -38.1054495)",-6.939055,-38.1054495
1025,"São josé da laje, Alagoas","São José da Laje - State of Alagoas, Brazil","(-8.9740524, -36.0240861)",-8.9740524,-36.0240861
1026,"São josé de mipibu, Não Informado","R. Vinte e Seis de Julho, 8 - Centro, São José de Mipibu - RN, 59162-000, Brazil","(-6.0731543, -35.2384984)",-6.0731543,-35.2384984
1027,"São josé de mipibu, Rio Grande do Norte","São José de Mipibu, State of Rio Grande do Norte, Brazil","(-6.0742528, -35.2369601)",-6.0742528,-35.2369601
1028,"São josé de piranhas, Paraíba","São José de Piranhas, State of Paraíba, 58940-000, Brazil","(-7.1191546, -38.4993817)",-7.1191546,-38.4993817
1029,"São josé do belmonte, Pernambuco","São José do Belmonte - State of Pernambuco, 56950-000, Brazil","(-7.8655007, -38.7601861)",-7.8655007,-38.7601861
1030,"São josé do campestre, Não Informado","São José do Campestre - State of Rio Grande do Norte, Brazil","(-6.312752100000001, -35.7625241)",-6.312752100000001,-35.7625241
1031,"São josé do campestre, Rio Grande do Norte","São José do Campestre - State of Rio Grande do Norte, Brazil","(-6.312752100000001, -35.7625241)",-6.312752100000001,-35.7625241
1032,"São josé do egito, Pernambuco","São José do Egito, State of Pernambuco, 56700-000, Brazil","(-7.4686612, -37.2746574)",-7.4686612,-37.2746574
1033,"São josé do rio pardo, São Paulo","São José do Rio Pardo, State of São Paulo, 13720-000, Brazil","(-21.6023955, -46.90209369999999)",-21.6023955,-46.90209369999999
1034,"São josé do rio preto, São Paulo","Sao Jose do Rio Preto, São José do Rio Preto - State of São Paulo, Brazil","(-20.811761, -49.3762272)",-20.811761,-49.3762272
1035,"São josé do sabugi, Paraíba","São José do Sabugi - State of Paraíba, Brazil","(-6.8288354, -36.8034921)",-6.8288354,-36.8034921
1036,"São josé do seridó, Não Informado","R. Vicente Pereira, 87 - Centro, São José do Seridó - RN, 59378-000, Brazil","(-6.449980099999999, -36.8785977)",-6.449980099999999,-36.8785977
1037,"São josé do seridó, Rio Grande do Norte","São José do Seridó - State of Rio Grande do Norte, Brazil","(-6.450808299999999, -36.8771889)",-6.450808299999999,-36.8771889
1038,"São josé dos campos, São Paulo","São José dos Campos, Sao Jose dos Campos - State of São Paulo, Brazil","(-23.223701, -45.9009074)",-23.223701,-45.9009074
1039,"São josé dos pinhais, Paraná","São José dos Pinhais, State of Paraná, Brazil","(-25.5318354, -49.2035722)",-25.5318354,-49.2035722
1040,"São josé, Rio Grande do Norte","São José de Mipibu, State of Rio Grande do Norte, Brazil","(-6.0742528, -35.2369601)",-6.0742528,-35.2369601
1041,"São josé, Santa Catarina","São José - Barreiros, São José - SC, Brazil","(-27.6140791, -48.6370861)",-27.6140791,-48.6370861
1042,"São joão da boa vista, São Paulo","São João da Boa Vista - State of São Paulo, Brazil","(-21.9707138, -46.7953572)",-21.9707138,-46.7953572
1043,"São joão de meriti, Rio de Janeiro","São João de Meriti - State of Rio de Janeiro, Brazil","(-22.7907116, -43.3699377)",-22.7907116,-43.3699377
1044,"São joão del rei, Minas Gerais","São João del Rei - State of Minas Gerais, Brazil","(-21.1315334, -44.2530444)",-21.1315334,-44.2530444
1045,"São joão do jaguaribe, Ceará","São João do Jaguaribe - State of Ceará, Brazil","(-5.3418543, -38.2744009)",-5.3418543,-38.2744009
1046,"São joão do rio do peixe, Paraíba","São João do Rio do Peixe - State of Paraíba, Brazil","(-6.727253399999999, -38.449499)",-6.727253399999999,-38.449499
1047,"São joão do sabugi, Não Informado","R. Honorio Marciel, 288, São João do Sabugi - RN, 59310-000, Brazil","(-6.7184792, -37.2008516)",-6.7184792,-37.2008516
1048,"São joão do sabugi, Rio Grande do Norte","São João do Sabugi - State of Rio Grande do Norte, Brazil","(-6.717805599999999, -37.2033007)",-6.717805599999999,-37.2033007
1049,"São joão dos patos, Maranhão","São João dos Patos - State of Maranhão, 65665-000, Brazil","(-6.493936, -43.7040176)",-6.493936,-43.7040176
1050,"São leopoldo, Rio Grande do Sul","São Leopoldo, RS, Brazil","(-29.7549941, -51.150283)",-29.7549941,-51.150283
1051,"São lourenço da mata, Pernambuco","São Lourenço da Mata, State of Pernambuco, Brazil","(-8.005951, -35.0209058)",-8.005951,-35.0209058
1052,"São lourenço, Minas Gerais","São Lourenço - State of Minas Gerais, Brazil","(-22.1166009, -45.05294199999999)",-22.1166009,-45.05294199999999
1053,"São luís do quitunde, Alagoas","São Luís do Quitunde - State of Alagoas, Brazil","(-9.309773, -35.5633711)",-9.309773,-35.5633711
1054,"São luís, Maranhão","São Luís - Vila Maranhão, São Luís - State of Maranhão, Brazil","(-2.5391099, -44.28290459999999)",-2.5391099,-44.28290459999999
1055,"São luís, Não Informado","São Luís - Vila Maranhão, São Luís - State of Maranhão, Brazil","(-2.5391099, -44.28290459999999)",-2.5391099,-44.28290459999999
1056,"São mamede, Paraíba","São Mamede - State of Paraíba, Brazil","(-6.9264325, -37.096633)",-6.9264325,-37.096633
1057,"São mateus do maranhão, Maranhão","São Mateus do Maranhão, MA, 65470-000, Brazil","(-4.030871299999999, -44.4654609)",-4.030871299999999,-44.4654609
1058,"São mateus, Espírito Santo","São Mateus - State of Espírito Santo, Brazil","(-18.7002308, -40.0633101)",-18.7002308,-40.0633101
1059,"São miguel do gostoso, Não Informado","São Miguel do Gostoso - State of Rio Grande do Norte, 59585-000, Brazil","(-5.1957184, -35.7100589)",-5.1957184,-35.7100589
1060,"São miguel do gostoso, Rio Grande do Norte","São Miguel do Gostoso - State of Rio Grande do Norte, 59585-000, Brazil","(-5.1957184, -35.7100589)",-5.1957184,-35.7100589
1061,"São miguel do tapuio, Piauí","São Miguel do Tapuio - State of Piauí, Brazil","(-5.7205053, -41.441251)",-5.7205053,-41.441251
1062,"São miguel dos campos, Alagoas","São Miguel dos Campos - State of Alagoas, 57240-000, Brazil","(-9.7625469, -36.1328132)",-9.7625469,-36.1328132
1063,"São miguel, Não Informado","São Miguel Island, Portugal","(37.780411, -25.4970466)",37.780411,-25.4970466
1064,"São miguel, Rio Grande do Norte","São Miguel, RN, 59920-000, Brazil","(-6.2119235, -38.4966313)",-6.2119235,-38.4966313
1065,"São paulo das missões, Rio Grande do Sul","São Paulo das Missões - RS, Brazil","(-28.0223438, -54.9382555)",-28.0223438,-54.9382555
1066,"São paulo do potengi, Não Informado","RN-120, s/n, São Paulo do Potengi - RN, 59460-000, Brazil","(-5.895480699999999, -35.7544978)",-5.895480699999999,-35.7544978
1067,"São paulo do potengi, Rio Grande do Norte","São Paulo do Potengi - State of Rio Grande do Norte, Brazil","(-5.892470599999999, -35.7660034)",-5.892470599999999,-35.7660034
1068,"São paulo, Não Informado","São Paulo, State of São Paulo, Brazil","(-23.5505199, -46.63330939999999)",-23.5505199,-46.63330939999999
1069,"São paulo, Rio Grande do Norte","São Paulo do Potengi - State of Rio Grande do Norte, Brazil","(-5.892470599999999, -35.7660034)",-5.892470599999999,-35.7660034
1070,"São paulo, São Paulo","São Paulo, State of São Paulo, Brazil","(-23.5505199, -46.63330939999999)",-23.5505199,-46.63330939999999
1071,"São pedro da aldeia, Rio de Janeiro","São Pedro da Aldeia - State of Rio de Janeiro, 28940-000, Brazil","(-22.8433651, -42.1029771)",-22.8433651,-42.1029771
1072,"São pedro do piauí, Piauí","São Pedro do Piauí - State of Piauí, Brazil","(-5.9256609, -42.7200498)",-5.9256609,-42.7200498
1073,"São pedro, Rio Grande do Norte","São Pedro - State of Rio Grande do Norte, Brazil","(-5.8981998, -35.6314191)",-5.8981998,-35.6314191
1074,"São rafael, Rio Grande do Norte","São Rafael - State of Rio Grande do Norte, Brazil","(-5.801973299999999, -36.8834042)",-5.801973299999999,-36.8834042
1075,"São roque, São Paulo","São Roque, State of São Paulo, Brazil","(-23.5298156, -47.13740019999999)",-23.5298156,-47.13740019999999
1076,"São sebastião da boa vista, Pará","São Sebastião da Boa Vista - State of Pará, Brazil","(-1.4260091, -49.6503106)",-1.4260091,-49.6503106
1077,"São sebastião, São Paulo","São Sebastião, SP, Brazil","(-23.8063468, -45.4016534)",-23.8063468,-45.4016534
1078,"São sepé, Rio Grande do Sul","São Sepé, RS, 97340-000, Brazil","(-30.1639889, -53.5718212)",-30.1639889,-53.5718212
1079,"São tomé, Rio Grande do Norte","São Tomé - State of Rio Grande do Norte, Brazil","(-5.9840258, -36.1328132)",-5.9840258,-36.1328132
1080,"São vicente, Não Informado","São Vicente - State of São Paulo, Brazil","(-23.9607157, -46.3962022)",-23.9607157,-46.3962022
1081,"São vicente, Rio Grande do Norte","São Vicente - State of Rio Grande do Norte, Brazil","(-6.2171351, -36.68308650000001)",-6.2171351,-36.68308650000001
1082,"São vicente, São Paulo","São Vicente - State of São Paulo, Brazil","(-23.9607157, -46.3962022)",-23.9607157,-46.3962022
1083,"São. g. do amarante, Rio Grande do Norte","São Gonçalo do Amarante - State of Rio Grande do Norte, 59290-000, Brazil","(-5.7852461, -35.3288131)",-5.7852461,-35.3288131
1084,"Sítio novo, Rio Grande do Norte","Sítio Novo, RN, 59440-000, Brazil","(-6.1117218, -35.9092963)",-6.1117218,-35.9092963
1085,"Taboleiro grande, Rio Grande do Norte","Taboleiro Grande - State of Rio Grande do Norte, Brazil","(-5.9302411, -38.0445515)",-5.9302411,-38.0445515
1086,"Taboão da serra, São Paulo","Taboão da Serra, SP, Brazil","(-23.6228759, -46.7816647)",-23.6228759,-46.7816647
1087,"Tabuleiro do norte, Ceará","Tabuleiro do Norte - State of Ceará, Brazil","(-5.244189899999999, -38.1285929)",-5.244189899999999,-38.1285929
1088,"Tacima, Paraíba","Tacima - State of Paraíba, Brazil","(-6.4882081, -35.6373952)",-6.4882081,-35.6373952
1089,"Taguatinga, Distrito Federal","Taguatinga, Brasília - DF, Brazil","(-15.8107481, -48.065751)",-15.8107481,-48.065751
1090,"Taguatinga, Rio Grande do Norte","Taguatinga, Brasília - DF, Brazil","(-15.8107481, -48.065751)",-15.8107481,-48.065751
1091,"Taipu, Não Informado",,,,
1092,"Taipu, Rio Grande do Norte","Taipu, RN, 59565-000, Brazil","(-5.623460199999999, -35.5975708)",-5.623460199999999,-35.5975708
1093,"Tamboril, Ceará","Tamboril - State of Ceará, Brazil","(-4.8330598, -40.3212889)",-4.8330598,-40.3212889
1094,"Tangara, Rio Grande do Norte","Tangará, RN, 59240-000, Brazil","(-6.196890499999999, -35.7992094)",-6.196890499999999,-35.7992094
1095,"Tangará da serra, Mato Grosso","Tangará da Serra - State of Mato Grosso, 78300-000, Brazil","(-14.6197551, -57.4875207)",-14.6197551,-57.4875207
1096,"Tangará, Rio Grande do Norte","Tangará, RN, 59240-000, Brazil","(-6.196890499999999, -35.7992094)",-6.196890499999999,-35.7992094
1097,"Taquara, Rio Grande do Sul","Taquara - RS, Brazil","(-29.6557164, -50.7416707)",-29.6557164,-50.7416707
1098,"Tatuí, São Paulo","Tatuí, State of São Paulo, Brazil","(-23.3492186, -47.8465761)",-23.3492186,-47.8465761
1099,"Taubaté, São Paulo","Taubaté - State of São Paulo, Brazil","(-23.0225753, -45.5486715)",-23.0225753,-45.5486715
1100,"Tauá, Ceará","Tauá - State of Ceará, Brazil","(-5.892287, -40.2271243)",-5.892287,-40.2271243
1101,"Teixeira de freitas, Bahia","Teixeira de Freitas, BA, Brazil","(-17.5400307, -39.7421813)",-17.5400307,-39.7421813
1102,"Teixeira, Paraíba","Teixeira - State of Paraíba, Brazil","(-7.2212972, -37.2523558)",-7.2212972,-37.2523558
1103,"Tenente ananias, Bahia","Tenente Ananias - State of Rio Grande do Norte, Brazil","(-6.4574485, -38.1807644)",-6.4574485,-38.1807644
1104,"Tenente ananias, Paraíba","Tenente Ananias - State of Rio Grande do Norte, Brazil","(-6.4574485, -38.1807644)",-6.4574485,-38.1807644
1105,"Tenente ananias, Rio Grande do Norte","Tenente Ananias - State of Rio Grande do Norte, Brazil","(-6.4574485, -38.1807644)",-6.4574485,-38.1807644
1106,"Tenente ananias, São Paulo","R. Ananias Nogueira Pinheiro - Jardim Angela (Zona Leste), São Paulo - SP, 03986-250, Brazil","(-23.6069669, -46.5201212)",-23.6069669,-46.5201212
1107,"Tenente laurentino cruz, Não Informado","Tenente Laurentino Cruz - State of Rio Grande do Norte, Brazil","(-6.147643800000001, -36.7192479)",-6.147643800000001,-36.7192479
1108,"Tenente laurentino cruz, Rio Grande do Norte","Tenente Laurentino Cruz - State of Rio Grande do Norte, Brazil","(-6.147643800000001, -36.7192479)",-6.147643800000001,-36.7192479
1109,"Tenente laurentino, Rio Grande do Norte","Tenente Laurentino Cruz - State of Rio Grande do Norte, Brazil","(-6.147643800000001, -36.7192479)",-6.147643800000001,-36.7192479
1110,"Teresina, Não Informado","Teresina - State of Piauí, Brazil","(-5.0920108, -42.80375970000001)",-5.0920108,-42.80375970000001
1111,"Teresina, Piauí","Teresina - State of Piauí, Brazil","(-5.0920108, -42.80375970000001)",-5.0920108,-42.80375970000001
1112,"Teresina, Rio Grande do Norte","Rua Franscisco de Assis Gracia, 3457 - Angelim, Teresina - PI, Brazil","(-5.1896648, -42.7723647)",-5.1896648,-42.7723647
1113,"Teresópolis, Rio de Janeiro","Teresópolis - State of Rio de Janeiro, Brazil","(-22.4178833, -42.9732217)",-22.4178833,-42.9732217
1114,"Teófilo otoni, Minas Gerais","Teófilo Otoni, MG, Brazil","(-17.8600089, -41.5091042)",-17.8600089,-41.5091042
1115,"Tianguá, Ceará","Tianguá, CE, 62320-000, Brazil","(-3.7300232, -40.9926511)",-3.7300232,-40.9926511
1116,"Tibau do sul, Não Informado","Tibau do Sul, State of Rio Grande do Norte, Brazil","(-6.1868146, -35.0918639)",-6.1868146,-35.0918639
1117,"Tibau do sul, Rio Grande do Norte","Tibau do Sul, State of Rio Grande do Norte, Brazil","(-6.1868146, -35.0918639)",-6.1868146,-35.0918639
1118,"Tibau, Rio Grande do Norte","Tibau - State of Rio Grande do Norte, 59678-000, Brazil","(-4.8830769, -37.3185938)",-4.8830769,-37.3185938
1119,"Tietê, São Paulo","Tietê - State of São Paulo, 18530-000, Brazil","(-23.0972565, -47.7144822)",-23.0972565,-47.7144822
1120,"Timbaúba dos batistas, Não Informado","Timbaúba dos Batistas - State of Rio Grande do Norte, Brazil","(-6.4625616, -37.271958)",-6.4625616,-37.271958
1121,"Timbaúba dos batistas, Rio Grande do Norte","Timbaúba dos Batistas - State of Rio Grande do Norte, Brazil","(-6.4625616, -37.271958)",-6.4625616,-37.271958
1122,"Timbaúba, Pernambuco","Timbaúba - State of Pernambuco, Brazil","(-7.5090469, -35.317997)",-7.5090469,-35.317997
1123,"Timóteo, Minas Gerais","Timóteo, MG, Brazil","(-19.5815683, -42.64753109999999)",-19.5815683,-42.64753109999999
1124,"Tocantinópolis, Tocantins","Tocantinópolis - TO, 77900-000, Brazil","(-6.325802899999999, -47.4242064)",-6.325802899999999,-47.4242064
1125,"Tomé-açu, Pará","Tomé-Açu - State of Pará, 68680-000, Brazil","(-2.4183942, -48.1545546)",-2.4183942,-48.1545546
1126,"Touros, Rio Grande do Norte","Touros, RN, 59584-000, Brazil","(-5.1961669, -35.4635381)",-5.1961669,-35.4635381
1127,"Trindade, Goiás","Trindade, State of Goiás, Brazil","(-16.654924, -49.4870702)",-16.654924,-49.4870702
1128,"Triunfo, Paraíba","Triunfo - State of Paraíba, Brazil","(-6.5791686, -38.597656)",-6.5791686,-38.597656
1129,"Três corações, Minas Gerais","Três Corações, State of Minas Gerais, 37410-000, Brazil","(-21.6946622, -45.2511765)",-21.6946622,-45.2511765
1130,"Três de maio, Rio Grande do Sul","Três de Maio - RS, 98910-000, Brazil","(-27.7841804, -54.2344541)",-27.7841804,-54.2344541
1131,"Três lagoas, Mato Grosso do Sul","Três Lagoas - State of Mato Grosso do Sul, Brazil","(-20.788203, -51.7029788)",-20.788203,-51.7029788
1132,"Três marias, Minas Gerais","Três Marias - State of Minas Gerais, 39205-000, Brazil","(-18.2058966, -45.2314016)",-18.2058966,-45.2314016
1133,"Três passos, Rio Grande do Sul","Três Passos - RS, 98600-000, Brazil","(-27.4559822, -53.9301803)",-27.4559822,-53.9301803
1134,"Três pontas, Minas Gerais","Três Pontas - State of Minas Gerais, 37190-000, Brazil","(-21.3671499, -45.50989879999999)",-21.3671499,-45.50989879999999
1135,"Tubarão, Santa Catarina","Tubarão - State of Santa Catarina, Brazil","(-28.4818875, -49.0058727)",-28.4818875,-49.0058727
1136,"Tucano, Bahia","Tucano - State of Bahia, 48790-000, Brazil","(-10.9620159, -38.791497)",-10.9620159,-38.791497
1137,"Tucuruí, Pará","Tucuruí - State of Pará, Brazil","(-3.7670371, -49.6702126)",-3.7670371,-49.6702126
1138,"Tuparetama, Pernambuco","Tuparetama - State of Pernambuco, Brazil","(-7.602332799999998, -37.3101232)",-7.602332799999998,-37.3101232
1139,"Ubajara, Ceará","Ubajara - State of Ceará, Brazil","(-3.8530587, -40.9183489)",-3.8530587,-40.9183489
1140,"Ubatuba, São Paulo","Ubatuba - State of São Paulo, 11680-000, Brazil","(-23.4338382, -45.0859321)",-23.4338382,-45.0859321
1141,"Uberaba, Minas Gerais","Uberaba, MG, Brazil","(-19.7473668, -47.93915399999999)",-19.7473668,-47.93915399999999
1142,"Uberlandia, Minas Gerais","Uberlândia, State of Minas Gerais, Brazil","(-18.9127534, -48.275484)",-18.9127534,-48.275484
1143,"Uberlândia, Minas Gerais","Uberlândia, State of Minas Gerais, Brazil","(-18.9127534, -48.275484)",-18.9127534,-48.275484
1144,"Ubiratã, Paraná","Ubiratã - State of Paraná, 85440-000, Brazil","(-24.5428053, -52.9898619)",-24.5428053,-52.9898619
1145,"Ubá, Minas Gerais","Ubá, MG, 36500-000, Brazil","(-21.120123, -42.9426188)",-21.120123,-42.9426188
1146,"Uirauna, Paraíba","Uiraúna, PB, 58915-000, Brazil","(-6.5212442, -38.4129524)",-6.5212442,-38.4129524
1147,"Uiraúna, Paraíba","Uiraúna, PB, 58915-000, Brazil","(-6.5212442, -38.4129524)",-6.5212442,-38.4129524
1148,"Uiraúna, Rio Grande do Norte","BR-405, Uiraúna - PB, 58915-000, Brazil","(-6.4567584, -38.3741708)",-6.4567584,-38.3741708
1149,"Uirúna, Paraíba","Uiraúna, PB, 58915-000, Brazil","(-6.5212442, -38.4129524)",-6.5212442,-38.4129524
1150,"Umarizal, Não Informado","Umarizal - State of Rio Grande do Norte, Brazil","(-5.9854449, -37.8172498)",-5.9854449,-37.8172498
1151,"Umarizal, Rio Grande do Norte","Umarizal - State of Rio Grande do Norte, Brazil","(-5.9854449, -37.8172498)",-5.9854449,-37.8172498
1152,"Umirim, Ceará","Umirim - State of Ceará, Brazil","(-3.6781355, -39.3486564)",-3.6781355,-39.3486564
1153,"Umuarama, Paraná","Umuarama, PR, Brazil","(-23.7661064, -53.3206105)",-23.7661064,-53.3206105
1154,"Unaí, Minas Gerais","Unaí - State of Minas Gerais, 38610-000, Brazil","(-16.3596235, -46.9024959)",-16.3596235,-46.9024959
1155,"União da vitória, Paraná","União da Vitória - State of Paraná, 84600-000, Brazil","(-26.2269867, -51.0582104)",-26.2269867,-51.0582104
1156,"União, Piauí","União - State of Piauí, Brazil","(-4.6145716, -42.82478769999999)",-4.6145716,-42.82478769999999
1157,"Upanema, Não Informado","Upanema - State of Rio Grande do Norte, Brazil","(-5.6217422, -37.2544065)",-5.6217422,-37.2544065
1158,"Upanema, Rio Grande do Norte","Upanema - State of Rio Grande do Norte, Brazil","(-5.6217422, -37.2544065)",-5.6217422,-37.2544065
1159,"Uruburetama, Ceará","Uruburetama, CE, 62650-000, Brazil","(-3.6242211, -39.5063895)",-3.6242211,-39.5063895
1160,"Uruguaiana, Rio Grande do Sul","Uruguaiana, RS, Brazil","(-29.7619121, -57.08584279999999)",-29.7619121,-57.08584279999999
1161,"Uruçuí, Piauí","Uruçuí - State of Piauí, 64860-000, Brazil","(-7.741486099999999, -44.5501935)",-7.741486099999999,-44.5501935
1162,"Valença do piauí, Piauí","Valença do Piauí - State of Piauí, Brazil","(-6.4060774, -41.73683520000001)",-6.4060774,-41.73683520000001
1163,"Valença, Bahia","Valença - State of Bahia, Brazil","(-13.3700599, -39.0720243)",-13.3700599,-39.0720243
1164,"Valença, Rio de Janeiro","Valença - State of Rio de Janeiro, 27600-000, Brazil","(-22.2459503, -43.706909)",-22.2459503,-43.706909
1165,"Valparaíso de goiás, Goiás","Valparaíso de Goiás, State of Goiás, Brazil","(-16.0663414, -47.9845465)",-16.0663414,-47.9845465
1166,"Varginha, Minas Gerais","Varginha - State of Minas Gerais, Brazil","(-21.5566617, -45.4270897)",-21.5566617,-45.4270897
1167,"Varzea, Rio Grande do Norte","Várzea, RN, 59185-000, Brazil","(-6.346813999999999, -35.3734996)",-6.346813999999999,-35.3734996
1168,"Vassouras, Rio de Janeiro","Vassouras - State of Rio de Janeiro, 27700-000, Brazil","(-22.4087928, -43.67021889999999)",-22.4087928,-43.67021889999999
1169,"Vazante, Minas Gerais","Vazante - State of Minas Gerais, Brazil","(-17.9964768, -46.9053064)",-17.9964768,-46.9053064
1170,"Vera cruz, Rio Grande do Norte","Vera Cruz - State of Rio Grande do Norte, Brazil","(-6.044490499999999, -35.4453207)",-6.044490499999999,-35.4453207
1171,"Verdejante, Pernambuco","Verdejante - State of Pernambuco, Brazil","(-8.006504, -38.9788042)",-8.006504,-38.9788042
