,cidade_estado,endereco,lat_lon,latitude,longitude
844,"Pratápolis, Minas Gerais","Pratápolis - State of Minas Gerais, Brazil","(-20.7448079, -46.8600955)",-20.7448079,-46.8600955
845,"Presidente dutra, Maranhão","Presidente Dutra - State of Maranhão, Brazil","(-5.2900794, -44.4955672)",-5.2900794,-44.4955672
846,"Presidente prudente, São Paulo","Presidente Prudente - State of São Paulo, Brazil","(-22.1373112, -51.3889736)",-22.1373112,-51.3889736
847,"Propriá, Sergipe","Propriá, State of Sergipe, 49900-000, Brazil","(-10.2122281, -36.8371852)",-10.2122281,-36.8371852
848,"Prudentópolis, Paraná","Prudentópolis - State of Paraná, Brazil","(-25.2135254, -50.9811962)",-25.2135254,-50.9811962
849,"Pureza, Rio Grande do Norte","Pureza - State of Rio Grande do Norte, 59582-000, Brazil","(-5.4673161, -35.5558452)",-5.4673161,-35.5558452
850,"Pão de açúcar, Alagoas","Pão de Açúcar, AL, 57400-000, Brazil","(-9.7493777, -37.4351721)",-9.7493777,-37.4351721
851,"Pé de serra, Bahia","Pé de Serra - State of Bahia, Brazil","(-11.8351266, -39.6111881)",-11.8351266,-39.6111881
852,"Queimados, Rio de Janeiro","Queimados, RJ, Brazil","(-22.7106685, -43.5522256)",-22.7106685,-43.5522256
853,"Queluz, São Paulo","Queluz - State of São Paulo, 12800-000, Brazil","(-22.5019755, -44.7943804)",-22.5019755,-44.7943804
854,"Quirinópolis, Goiás","Quirinópolis, State of Goiás, 75860-000, Brazil","(-18.4476442, -50.4551598)",-18.4476442,-50.4551598
855,"Quiterianópolis, Ceará","Quiterianópolis - State of Ceará, Brazil","(-5.8455954, -40.7037282)",-5.8455954,-40.7037282
856,"Quixadá, Ceará","Quixadá - State of Ceará, Brazil","(-4.9685143, -39.0161545)",-4.9685143,-39.0161545
857,"Quixeramobim, Ceará","Quixeramobim - State of Ceará, Brazil","(-5.2915408, -39.4035876)",-5.2915408,-39.4035876
858,"Quixeramobim, Rio Grande do Norte","Fazenda, Parelhas - RN, Brazil","(-5.186691199999999, -39.2548209)",-5.186691199999999,-39.2548209
859,"Quixeré, Ceará","Quixeré - State of Ceará, Brazil","(-5.0728291, -37.9894863)",-5.0728291,-37.9894863
860,"Rafael fernandes, Rio Grande do Norte","Rafael Fernandes, RN, 59990-000, Brazil","(-6.19027, -38.2214588)",-6.19027,-38.2214588
861,"Rafael godeiro, Rio Grande do Norte","Rafael Godeiro - State of Rio Grande do Norte, Brazil","(-6.0759913, -37.7343987)",-6.0759913,-37.7343987
862,"Raicho de santana, Paraíba","Riacho Grande, Barra de Santana - PB, 58458-000, Brazil","(-7.603231499999999, -36.0675027)",-7.603231499999999,-36.0675027
863,"Raicho de santana, Rio Grande do Norte","Riacho de Santana - State of Rio Grande do Norte, Brazil","(-6.2637914, -38.3134904)",-6.2637914,-38.3134904
864,"Recife, Não Informado","Recife - State of Pernambuco, Brazil","(-8.0522404, -34.9286096)",-8.0522404,-34.9286096
865,"Recife, Pernambuco","Recife - State of Pernambuco, Brazil","(-8.0522404, -34.9286096)",-8.0522404,-34.9286096
866,"Recife, Rio Grande do Norte","Praca João Gonçalves Souza - s/n S 69 An 2 sl 2, PE, 50670-500, Brazil","(-8.0452684, -34.941015)",-8.0452684,-34.941015
